name,tweet,is_real
Conan O'Brien,"""I wonder if Taco Bell has a breakfast menu because I'm craving a Chalupa at 8 AM.""",TRUE
Ryan Reynolds,"If I disappear, it’s because I lost a staring contest with my toddler.",FALSE
"Tyler, the Creator",i just saw a goose chase a child and honestly i’m rooting for the goose.,FALSE
Taylor Swift,No one talks about how satisfying it is to alphabetize your vinyl.,FALSE
Kanye West,I’M GOOD AND EVIL TOGETHER,TRUE
"Tyler, the Creator",i just saw a goose chase a child and honestly i’m rooting for the goose.,FALSE
Billie Eilish,people really be like “you’ve changed” like that’s not the whole point,FALSE
Ryan Reynolds,last night i had cereal with milk for the first time. life changing.,TRUE
"Tyler, the Creator","""My therapist told me to stop tweeting and start journaling but now my journal is a Twitter thread""",TRUE
"Tyler, the Creator",i just saw a goose chase a child and honestly i’m rooting for the goose.,FALSE
Elon Musk,"In retrospect, it was inevitable.",TRUE
Kanye West,you can say anything as long as you put the right emoji next to it.,TRUE
Taylor Swift,"sometimes healing doesn’t look like peace — it looks like late nights, old journals, and finally telling your side of the story
",FALSE
Taylor Swift,No one talks about how satisfying it is to alphabetize your vinyl.,FALSE
Kanye West,It's a beautiful time. I love my friends. I love my family. I love people. The human race.,TRUE
Conan O'Brien,"I’m convinced the guy who invented autocorrect died in a car accident. Rest in peace, motherducker.",TRUE
Ariana Grande,currently floating somewhere between a nap and a love song,FALSE
Conan O'Brien,"My son asked me where babies come from, and to distract him I said ""some day we're all going to die.""",TRUE
"Tyler, the Creator",dreamt i opened a jazz bakery and now i’m mad it doesn’t exist.,FALSE
Elon Musk,Next I'm buying Coca-Cola to put the cocaine back in,TRUE
Conan O'Brien,"""Nothing is more frightening than a clown telling you he doesn't need to wear makeup.""",TRUE
"Tyler, the Creator","""My therapist told me to stop tweeting and start journaling but now my journal is a Twitter thread""",TRUE
Ryan Reynolds,I watched Frozen without my two-year-old this morning. Despair reveals itself in many forms.,TRUE
Ariana Grande,me? emotionally stable? babe i cried because my oat milk was expired.,FALSE
Conan O'Brien,"""I wonder if Taco Bell has a breakfast menu because I'm craving a Chalupa at 8 AM.""",TRUE
Kanye West,Have you ever thought you were in love with someone but then realized you were just staring in a mirror for 20 minutes?,TRUE
Conan O'Brien,"""Nothing is more frightening than a clown telling you he doesn't need to wear makeup.""",TRUE
"Tyler, the Creator",why do apples taste better when you eat them dramatically?,FALSE
Ariana Grande,me? emotionally stable? babe i cried because my oat milk was expired.,FALSE
Elon Musk,Nuke Mars!,TRUE
Elon Musk,Nuke Mars!,TRUE
Ryan Reynolds,Parenting is mostly whisper-yelling ‘WHAT IS IN YOUR MOUTH’,FALSE
"Tyler, the Creator",dreamt i opened a jazz bakery and now i’m mad it doesn’t exist.,FALSE
Billie Eilish,"insomnia and overthinking are besties. and apparently, so are we.",FALSE
Kanye West,"I’M IN JAPAN

THEY CAN’T CONTROL MY VISION HERE",TRUE
Kanye West,I need a room full of mirrors so I can be surrounded by winners.,TRUE
Taylor Swift,"""It's crazy to think about how many countries I've lost hair ties in.""",TRUE
Taylor Swift,No one talks about how satisfying it is to alphabetize your vinyl.,FALSE
Conan O'Brien,"My son asked me where babies come from, and to distract him I said ""some day we're all going to die.""",TRUE
Taylor Swift,"sometimes healing doesn’t look like peace — it looks like late nights, old journals, and finally telling your side of the story
",FALSE
Ariana Grande,me? emotionally stable? babe i cried because my oat milk was expired.,FALSE
Ariana Grande,currently floating somewhere between a nap and a love song,FALSE
Elon Musk,Nuke Mars!,TRUE
Billie Eilish,"insomnia and overthinking are besties. and apparently, so are we.",FALSE
Ryan Reynolds,Parenting is mostly whisper-yelling ‘WHAT IS IN YOUR MOUTH’,FALSE
Kanye West,you can say anything as long as you put the right emoji next to it.,TRUE
Conan O'Brien,"I’m convinced the guy who invented autocorrect died in a car accident. Rest in peace, motherducker.",TRUE
Elon Musk,Nuke Mars!,TRUE
Conan O'Brien,"My son asked me where babies come from, and to distract him I said ""some day we're all going to die.""",TRUE
Billie Eilish,Pain is good,TRUE
Billie Eilish,"insomnia and overthinking are besties. and apparently, so are we.",FALSE
Ariana Grande,me? emotionally stable? babe i cried because my oat milk was expired.,FALSE
Ryan Reynolds,"If I disappear, it’s because I lost a staring contest with my toddler.",FALSE
Kanye West,It's a beautiful time. I love my friends. I love my family. I love people. The human race.,TRUE
Ariana Grande,me? emotionally stable? babe i cried because my oat milk was expired.,FALSE
Ryan Reynolds,"If I disappear, it’s because I lost a staring contest with my toddler.",FALSE
Elon Musk,Next I'm buying Coca-Cola to put the cocaine back in,TRUE
Ryan Reynolds,"If I disappear, it’s because I lost a staring contest with my toddler.",FALSE
Elon Musk,"In retrospect, it was inevitable.",TRUE
Ariana Grande,"""Is it bad that I sometimes wanna punch my 4-year-old brother in the face?""",TRUE
Elon Musk,"In retrospect, it was inevitable.",TRUE
Ariana Grande,got lost in a melody and forgot to respond to 12 texts... sorry ily,FALSE
Ryan Reynolds,last night i had cereal with milk for the first time. life changing.,TRUE
Kanye West,I need a room full of mirrors so I can be surrounded by winners.,TRUE
Elon Musk,Nuke Mars!,TRUE
Ariana Grande,got lost in a melody and forgot to respond to 12 texts... sorry ily,FALSE
Taylor Swift,"sometimes healing doesn’t look like peace — it looks like late nights, old journals, and finally telling your side of the story
",FALSE
Kanye West,I’M GOOD AND EVIL TOGETHER,TRUE
Kanye West,I need a room full of mirrors so I can be surrounded by winners.,TRUE
"Tyler, the Creator",dreamt i opened a jazz bakery and now i’m mad it doesn’t exist.,FALSE
Ariana Grande,got lost in a melody and forgot to respond to 12 texts... sorry ily,FALSE
Billie Eilish,i’m fine. just floating in a hoodie-shaped cloud of existential dread.,FALSE
Ryan Reynolds,"If I disappear, it’s because I lost a staring contest with my toddler.",FALSE
Taylor Swift,"""It's crazy to think about how many countries I've lost hair ties in.""",TRUE
Taylor Swift,No one talks about how satisfying it is to alphabetize your vinyl.,FALSE
Billie Eilish,"insomnia and overthinking are besties. and apparently, so are we.",FALSE
Kanye West,Sometimes I get emotional over fonts,TRUE
Elon Musk,Next I'm buying Coca-Cola to put the cocaine back in,TRUE
Billie Eilish,people really be like “you’ve changed” like that’s not the whole point,FALSE
Ryan Reynolds,last night i had cereal with milk for the first time. life changing.,TRUE
Conan O'Brien,"""I wonder if Taco Bell has a breakfast menu because I'm craving a Chalupa at 8 AM.""",TRUE
Conan O'Brien,"My son asked me where babies come from, and to distract him I said ""some day we're all going to die.""",TRUE
"Tyler, the Creator",dreamt i opened a jazz bakery and now i’m mad it doesn’t exist.,FALSE
Kanye West,I’M GOOD AND EVIL TOGETHER,TRUE
Elon Musk,Nuke Mars!,TRUE
Kanye West,I’M GOOD AND EVIL TOGETHER,TRUE
Elon Musk,Nuke Mars!,TRUE
Taylor Swift,"""It's crazy to think about how many countries I've lost hair ties in.""",TRUE
Conan O'Brien,"""Nothing is more frightening than a clown telling you he doesn't need to wear makeup.""",TRUE
"Tyler, the Creator",dreamt i opened a jazz bakery and now i’m mad it doesn’t exist.,FALSE
Billie Eilish,people really be like “you’ve changed” like that’s not the whole point,FALSE
